,Title,Summary,Location,Company,Salary
120,PEGA Architect,Certified Pega Certified Senior System Architect / Pega Certified Lead System Architect will be an added advantage.Champion for a common assets class.,Singapore,Career International FOS Pte Ltd,"$6,000 - $10,000 a month"
121,CISO - Tech Unicorn,Data provided is for recruitment purposes only.Digital Banking API Architect (Based in Singapore).Bachelor's Degree in Computer Science or related discipline.,Singapore,,
122,"Solutions Architect, MuleSoft, Singapore","Demonstrated ability to effectively architect solutions within a diverse technical team of client, SIs, contractors, and internal teams.",Singapore,Salesforce,
123,Head of Data Products,"Lead the research on new data sources, data platform/technology, and data validation, quality control, and integration - Assess the effectiveness/accuracy of…",Central Singapore,CITI,
124,Solution Architect,"The Solution Architect is responsible for:The Solution Architect needs to have:If you have the interest in the Solution Architect role, feel free to contact…",Singapore,Huxley APAC,
125,Consumer Networks - Core Engineer (5G Enterprise) (114137),Architect and design of Cloud / MEC for 5G Enterprise trials & projects.Strong working knowledge data center and software defined networking technologies eg…,Singapore,Singtel,
126,"IT Solutions Data Architect, IT – IFRS17","Experience with Operation Data Stores, Enterprise Data Warehouses and Data Marts is a must.Conceptual Architecture, Data Technical Architecture, Data…",Singapore,Great Eastern,
127,Senior Solution Architect,Data provided is for recruitment purposes only.At least 10 years of experience s a Solution Architect within a SI-Centric environment.,Singapore,,
128,Solutions Engineer,"Bachelor’s Degree in Computer Science, Business, or Engineering.Headquartered in Redwood City, California, PubMatic operates 13 offices and six data centers…",Singapore,PubMatic,
129,Principal Architect,"Data analysis, design pattern, system benchmark.We are seeking an experienced Architect to join our technology team.",Singapore,iSTOX,
130,Rendering Programming Intern,Good understanding of data structures and algorithms.Optimise code and data for memory usage and performance as required.,Singapore,Ubisoft,
131,Manager â Data Engineer,"Process, cleanse and verify the suitability of data used for data analytics, as well as interpret and analyse big data sets using statistical techniques.",Singapore,Infocomm Media Development Authority,
132,Hadoop – Technical Lead,Deep knowledge of best practices through relevant experience across data-related disciplines and technologies particularly for enterprise wide data…,Singapore,ARYAN SOLUTIONS PTE. LTD.,"$5,500 - $7,500 a month"
